freq,L,Q,N,L1,L2,W,S,"mag(S(1,1))","phase(S(1,1))"
100.0 MHz,15.463,47.973,0.25,2.6,3.1,0.25,0.2,0.999,177.774
100.0 MHz,17.91,41.809,0.25,2.6,3.2,0.2,0.25,0.999,177.421
100.0 MHz,15.995,47.886,0.25,2.6,3.2,0.25,0.2,0.999,177.697
100.0 MHz,18.492,41.722,0.25,2.6,3.3,0.2,0.25,0.999,177.338
100.0 MHz,16.528,47.808,0.25,2.6,3.3,0.25,0.2,0.999,177.62
100.0 MHz,19.073,41.643,0.25,2.6,3.4,0.2,0.25,0.999,177.254
100.0 MHz,17.061,47.735,0.25,2.6,3.4,0.25,0.2,0.999,177.544
100.0 MHz,19.652,41.565,0.25,2.6,3.5,0.2,0.25,0.999,177.171
100.0 MHz,17.593,47.578,0.25,2.6,3.5,0.25,0.2,0.999,177.467
100.0 MHz,20.235,41.459,0.25,2.6,3.6,0.2,0.25,0.999,177.087
100.0 MHz,18.127,47.485,0.25,2.6,3.6,0.25,0.2,0.999,177.39
100.0 MHz,20.837,42.189,0.25,2.6,3.7,0.2,0.25,0.999,177.0
100.0 MHz,18.662,48.304,0.25,2.6,3.7,0.25,0.2,0.999,177.313
100.0 MHz,21.422,42.131,0.25,2.6,3.8,0.2,0.25,0.999,176.916
100.0 MHz,19.206,48.1,0.25,2.6,3.8,0.25,0.2,0.999,177.235
100.0 MHz,22.01,42.009,0.25,2.6,3.9,0.2,0.25,0.999,176.831
100.0 MHz,22.586,41.89,0.25,2.6,4.0,0.2,0.25,0.999,176.749
100.0 MHz,23.169,41.841,0.25,2.6,4.1,0.2,0.25,0.999,176.665
100.0 MHz,23.751,41.768,0.25,2.6,4.2,0.2,0.25,0.999,176.581
100.0 MHz,24.335,41.717,0.25,2.6,4.3,0.2,0.25,0.999,176.497
100.0 MHz,24.918,41.669,0.25,2.6,4.4,0.2,0.25,0.998,176.413
100.0 MHz,25.503,41.626,0.25,2.6,4.5,0.2,0.25,0.998,176.329
100.0 MHz,26.084,41.584,0.25,2.6,4.6,0.2,0.25,0.998,176.245
100.0 MHz,26.67,41.512,0.25,2.6,4.7,0.2,0.25,0.998,176.161
100.0 MHz,27.281,41.981,0.25,2.6,4.8,0.2,0.25,0.998,176.073
100.0 MHz,27.856,41.887,0.25,2.6,4.9,0.2,0.3,0.998,175.99
100.0 MHz,25.119,47.893,0.25,2.6,4.9,0.25,0.3,0.999,176.384
100.0 MHz,28.44,41.851,0.25,2.6,5.0,0.2,0.3,0.998,175.906
100.0 MHz,25.66,47.823,0.25,2.6,5.0,0.25,0.3,0.999,176.306
100.0 MHz,14.508,29.4,0.25,2.7,2.0,0.1,0.1,,
100.0 MHz,10.962,42.77,0.25,2.7,2.0,0.2,0.2,0.999,178.422
100.0 MHz,15.201,29.197,0.25,2.7,2.1,0.1,0.1,0.999,177.811
100.0 MHz,11.539,42.377,0.25,2.7,2.1,0.2,0.2,0.999,178.339
100.0 MHz,12.683,41.842,0.25,2.7,2.3,0.2,0.2,0.999,178.174
100.0 MHz,13.256,41.667,0.25,2.7,2.4,0.2,0.2,0.999,178.091
100.0 MHz,13.833,41.443,0.25,2.7,2.5,0.2,0.25,0.999,178.008
100.0 MHz,12.259,47.582,0.25,2.7,2.5,0.25,0.2,0.999,178.235
100.0 MHz,14.43,42.596,0.25,2.7,2.6,0.2,0.25,0.999,177.922
100.0 MHz,12.77,49.854,0.25,2.7,2.6,0.25,0.2,0.999,178.161
100.0 MHz,15.013,42.486,0.25,2.7,2.7,0.2,0.25,0.999,177.838
100.0 MHz,13.309,48.909,0.25,2.7,2.7,0.25,0.2,0.999,178.084
100.0 MHz,15.591,42.36,0.25,2.7,2.8,0.2,0.25,0.999,177.755
100.0 MHz,13.841,48.762,0.25,2.7,2.8,0.25,0.2,0.999,178.007
100.0 MHz,16.17,42.272,0.25,2.7,2.9,0.2,0.25,0.999,177.672
100.0 MHz,14.39,48.316,0.25,2.7,2.9,0.25,0.2,0.999,177.928
100.0 MHz,16.756,42.077,0.25,2.7,3.0,0.2,0.25,0.999,177.588
100.0 MHz,14.924,48.19,0.25,2.7,3.0,0.25,0.2,0.999,177.851
100.0 MHz,17.331,41.925,0.25,2.7,3.1,0.2,0.25,0.999,177.505
100.0 MHz,15.463,47.973,0.25,2.7,3.1,0.25,0.2,0.999,177.774
100.0 MHz,17.91,41.809,0.25,2.7,3.2,0.2,0.25,0.999,177.421
100.0 MHz,15.995,47.886,0.25,2.7,3.2,0.25,0.2,0.999,177.697
100.0 MHz,18.492,41.722,0.25,2.7,3.3,0.2,0.25,0.999,177.338
100.0 MHz,16.528,47.808,0.25,2.7,3.3,0.25,0.2,0.999,177.62
100.0 MHz,19.073,41.643,0.25,2.7,3.4,0.2,0.25,0.999,177.254
100.0 MHz,17.061,47.735,0.25,2.7,3.4,0.25,0.2,0.999,177.544
100.0 MHz,19.652,41.565,0.25,2.7,3.5,0.2,0.25,0.999,177.171
100.0 MHz,17.593,47.578,0.25,2.7,3.5,0.25,0.2,0.999,177.467
100.0 MHz,20.235,41.459,0.25,2.7,3.6,0.2,0.25,0.999,177.087
100.0 MHz,18.127,47.485,0.25,2.7,3.6,0.25,0.2,0.999,177.39
100.0 MHz,20.837,42.189,0.25,2.7,3.7,0.2,0.25,0.999,177.0
100.0 MHz,18.662,48.304,0.25,2.7,3.7,0.25,0.2,0.999,177.313
100.0 MHz,21.422,42.131,0.25,2.7,3.8,0.2,0.25,0.999,176.916
100.0 MHz,19.206,48.1,0.25,2.7,3.8,0.25,0.2,0.999,177.235
100.0 MHz,22.01,42.009,0.25,2.7,3.9,0.2,0.25,0.999,176.831
100.0 MHz,22.586,41.89,0.25,2.7,4.0,0.2,0.25,0.999,176.749
100.0 MHz,23.169,41.841,0.25,2.7,4.1,0.2,0.25,0.999,176.665
100.0 MHz,23.751,41.768,0.25,2.7,4.2,0.2,0.25,0.999,176.581
100.0 MHz,24.335,41.717,0.25,2.7,4.3,0.2,0.25,0.999,176.497
100.0 MHz,24.918,41.669,0.25,2.7,4.4,0.2,0.25,0.998,176.413
100.0 MHz,25.503,41.626,0.25,2.7,4.5,0.2,0.25,0.998,176.329
100.0 MHz,26.084,41.584,0.25,2.7,4.6,0.2,0.25,0.998,176.245
100.0 MHz,26.67,41.512,0.25,2.7,4.7,0.2,0.25,0.998,176.161
100.0 MHz,27.281,41.981,0.25,2.7,4.8,0.2,0.25,0.998,176.073
100.0 MHz,27.856,41.887,0.25,2.7,4.9,0.2,0.3,0.998,175.99
100.0 MHz,25.119,47.893,0.25,2.7,4.9,0.25,0.3,0.999,176.384
100.0 MHz,28.44,41.851,0.25,2.7,5.0,0.2,0.3,0.998,175.906
100.0 MHz,25.66,47.823,0.25,2.7,5.0,0.25,0.3,0.999,176.306
100.0 MHz,14.508,29.4,0.25,2.8,2.0,0.1,0.1,,
100.0 MHz,10.962,42.77,0.25,2.8,2.0,0.2,0.2,0.999,178.422
100.0 MHz,11.539,42.377,0.25,2.8,2.1,0.2,0.2,0.999,178.339
100.0 MHz,12.683,41.842,0.25,2.8,2.3,0.2,0.2,0.999,178.174
100.0 MHz,13.256,41.667,0.25,2.8,2.4,0.2,0.2,0.999,178.091
100.0 MHz,13.833,41.443,0.25,2.8,2.5,0.2,0.25,0.999,178.008
100.0 MHz,12.259,47.582,0.25,2.8,2.5,0.25,0.2,0.999,178.235
100.0 MHz,14.43,42.596,0.25,2.8,2.6,0.2,0.25,0.999,177.922
100.0 MHz,12.77,49.854,0.25,2.8,2.6,0.25,0.2,0.999,178.161
100.0 MHz,15.013,42.486,0.25,2.8,2.7,0.2,0.25,0.999,177.838
100.0 MHz,13.309,48.909,0.25,2.8,2.7,0.25,0.2,0.999,178.084
100.0 MHz,15.591,42.36,0.25,2.8,2.8,0.2,0.25,0.999,177.755
100.0 MHz,13.841,48.762,0.25,2.8,2.8,0.25,0.2,0.999,178.007
100.0 MHz,16.17,42.272,0.25,2.8,2.9,0.2,0.25,0.999,177.672
100.0 MHz,14.39,48.316,0.25,2.8,2.9,0.25,0.2,0.999,177.928
100.0 MHz,16.756,42.077,0.25,2.8,3.0,0.2,0.25,0.999,177.588
100.0 MHz,14.924,48.19,0.25,2.8,3.0,0.25,0.2,0.999,177.851
100.0 MHz,17.331,41.925,0.25,2.8,3.1,0.2,0.25,0.999,177.505
100.0 MHz,15.463,47.973,0.25,2.8,3.1,0.25,0.2,0.999,177.774
100.0 MHz,17.91,41.809,0.25,2.8,3.2,0.2,0.25,0.999,177.421
100.0 MHz,15.995,47.886,0.25,2.8,3.2,0.25,0.2,0.999,177.697
100.0 MHz,18.492,41.722,0.25,2.8,3.3,0.2,0.25,0.999,177.338
100.0 MHz,16.528,47.808,0.25,2.8,3.3,0.25,0.2,0.999,177.62
100.0 MHz,19.073,41.643,0.25,2.8,3.4,0.2,0.25,0.999,177.254
100.0 MHz,17.061,47.735,0.25,2.8,3.4,0.25,0.2,0.999,177.544
100.0 MHz,19.652,41.565,0.25,2.8,3.5,0.2,0.25,0.999,177.171
100.0 MHz,17.593,47.578,0.25,2.8,3.5,0.25,0.2,0.999,177.467
100.0 MHz,20.235,41.459,0.25,2.8,3.6,0.2,0.25,0.999,177.087
100.0 MHz,18.127,47.485,0.25,2.8,3.6,0.25,0.2,0.999,177.39
100.0 MHz,20.837,42.189,0.25,2.8,3.7,0.2,0.25,0.999,177.0
100.0 MHz,18.662,48.304,0.25,2.8,3.7,0.25,0.2,0.999,177.313
100.0 MHz,21.422,42.131,0.25,2.8,3.8,0.2,0.25,0.999,176.916
100.0 MHz,19.206,48.1,0.25,2.8,3.8,0.25,0.2,0.999,177.235
100.0 MHz,22.01,42.009,0.25,2.8,3.9,0.2,0.25,0.999,176.831
100.0 MHz,22.586,41.89,0.25,2.8,4.0,0.2,0.25,0.999,176.749
100.0 MHz,23.169,41.841,0.25,2.8,4.1,0.2,0.25,0.999,176.665
100.0 MHz,23.751,41.768,0.25,2.8,4.2,0.2,0.25,0.999,176.581
100.0 MHz,24.335,41.717,0.25,2.8,4.3,0.2,0.25,0.999,176.497
100.0 MHz,24.918,41.669,0.25,2.8,4.4,0.2,0.25,0.998,176.413
100.0 MHz,25.503,41.626,0.25,2.8,4.5,0.2,0.25,0.998,176.329
100.0 MHz,26.084,41.584,0.25,2.8,4.6,0.2,0.25,0.998,176.245
100.0 MHz,26.67,41.512,0.25,2.8,4.7,0.2,0.25,0.998,176.161
100.0 MHz,27.281,41.981,0.25,2.8,4.8,0.2,0.25,0.998,176.073
100.0 MHz,27.856,41.887,0.25,2.8,4.9,0.2,0.3,0.998,175.99
100.0 MHz,25.119,47.893,0.25,2.8,4.9,0.25,0.3,0.999,176.384
100.0 MHz,28.44,41.851,0.25,2.8,5.0,0.2,0.3,0.998,175.906
100.0 MHz,25.66,47.823,0.25,2.8,5.0,0.25,0.3,0.999,176.306
100.0 MHz,14.508,29.4,0.25,2.9,2.0,0.1,0.1,,
100.0 MHz,10.962,42.77,0.25,2.9,2.0,0.2,0.2,0.999,178.422
100.0 MHz,11.539,42.377,0.25,2.9,2.1,0.2,0.2,0.999,178.339
100.0 MHz,13.256,41.667,0.25,2.9,2.4,0.2,0.2,0.999,178.091
100.0 MHz,13.833,41.443,0.25,2.9,2.5,0.2,0.25,0.999,178.008
100.0 MHz,12.259,47.582,0.25,2.9,2.5,0.25,0.2,0.999,178.235
100.0 MHz,14.43,42.596,0.25,2.9,2.6,0.2,0.25,0.999,177.922
100.0 MHz,12.77,49.854,0.25,2.9,2.6,0.25,0.2,0.999,178.161
100.0 MHz,15.013,42.486,0.25,2.9,2.7,0.2,0.25,0.999,177.838
100.0 MHz,13.309,48.909,0.25,2.9,2.7,0.25,0.2,0.999,178.084
100.0 MHz,15.591,42.36,0.25,2.9,2.8,0.2,0.25,0.999,177.755
100.0 MHz,13.841,48.762,0.25,2.9,2.8,0.25,0.2,0.999,178.007
100.0 MHz,16.17,42.272,0.25,2.9,2.9,0.2,0.25,0.999,177.672
100.0 MHz,14.39,48.316,0.25,2.9,2.9,0.25,0.2,0.999,177.928
100.0 MHz,16.756,42.077,0.25,2.9,3.0,0.2,0.25,0.999,177.588
100.0 MHz,14.924,48.19,0.25,2.9,3.0,0.25,0.2,0.999,177.851
100.0 MHz,17.331,41.925,0.25,2.9,3.1,0.2,0.25,0.999,177.505
100.0 MHz,15.463,47.973,0.25,2.9,3.1,0.25,0.2,0.999,177.774
100.0 MHz,17.91,41.809,0.25,2.9,3.2,0.2,0.25,0.999,177.421
100.0 MHz,15.995,47.886,0.25,2.9,3.2,0.25,0.2,0.999,177.697
100.0 MHz,18.492,41.722,0.25,2.9,3.3,0.2,0.25,0.999,177.338
100.0 MHz,16.528,47.808,0.25,2.9,3.3,0.25,0.2,0.999,177.62
100.0 MHz,19.073,41.643,0.25,2.9,3.4,0.2,0.25,0.999,177.254
100.0 MHz,17.061,47.735,0.25,2.9,3.4,0.25,0.2,0.999,177.544
100.0 MHz,19.652,41.565,0.25,2.9,3.5,0.2,0.25,0.999,177.171
100.0 MHz,17.593,47.578,0.25,2.9,3.5,0.25,0.2,0.999,177.467
100.0 MHz,20.235,41.459,0.25,2.9,3.6,0.2,0.25,0.999,177.087
100.0 MHz,18.127,47.485,0.25,2.9,3.6,0.25,0.2,0.999,177.39
100.0 MHz,20.837,42.189,0.25,2.9,3.7,0.2,0.25,0.999,177.0
100.0 MHz,18.662,48.304,0.25,2.9,3.7,0.25,0.2,0.999,177.313
100.0 MHz,21.422,42.131,0.25,2.9,3.8,0.2,0.25,0.999,176.916
100.0 MHz,19.206,48.1,0.25,2.9,3.8,0.25,0.2,0.999,177.235
100.0 MHz,22.01,42.009,0.25,2.9,3.9,0.2,0.25,0.999,176.831
100.0 MHz,22.586,41.89,0.25,2.9,4.0,0.2,0.25,0.999,176.749
100.0 MHz,23.169,41.841,0.25,2.9,4.1,0.2,0.25,0.999,176.665
100.0 MHz,23.751,41.768,0.25,2.9,4.2,0.2,0.25,0.999,176.581
100.0 MHz,24.335,41.717,0.25,2.9,4.3,0.2,0.25,0.999,176.497
100.0 MHz,24.918,41.669,0.25,2.9,4.4,0.2,0.25,0.998,176.413
100.0 MHz,25.503,41.626,0.25,2.9,4.5,0.2,0.25,0.998,176.329
100.0 MHz,26.084,41.584,0.25,2.9,4.6,0.2,0.25,0.998,176.245
100.0 MHz,26.67,41.512,0.25,2.9,4.7,0.2,0.25,0.998,176.161
100.0 MHz,27.281,41.981,0.25,2.9,4.8,0.2,0.25,0.998,176.073
100.0 MHz,27.856,41.887,0.25,2.9,4.9,0.2,0.3,0.998,175.99
100.0 MHz,25.119,47.893,0.25,2.9,4.9,0.25,0.3,0.999,176.384
100.0 MHz,28.44,41.851,0.25,2.9,5.0,0.2,0.3,0.998,175.906
100.0 MHz,25.66,47.823,0.25,2.9,5.0,0.25,0.3,0.999,176.306
100.0 MHz,14.508,29.4,0.25,3.0,2.0,0.1,0.1,,
100.0 MHz,10.962,42.77,0.25,3.0,2.0,0.2,0.2,0.999,178.422
100.0 MHz,11.539,42.377,0.25,3.0,2.1,0.2,0.2,0.999,178.339
100.0 MHz,13.256,41.667,0.25,3.0,2.4,0.2,0.2,0.999,178.091
100.0 MHz,13.833,41.443,0.25,3.0,2.5,0.2,0.25,0.999,178.008
100.0 MHz,12.259,47.582,0.25,3.0,2.5,0.25,0.2,0.999,178.235
100.0 MHz,14.43,42.596,0.25,3.0,2.6,0.2,0.25,0.999,177.922
100.0 MHz,12.77,49.854,0.25,3.0,2.6,0.25,0.2,0.999,178.161
100.0 MHz,15.013,42.486,0.25,3.0,2.7,0.2,0.25,0.999,177.838
100.0 MHz,13.309,48.909,0.25,3.0,2.7,0.25,0.2,0.999,178.084
100.0 MHz,15.591,42.36,0.25,3.0,2.8,0.2,0.25,0.999,177.755
100.0 MHz,13.841,48.762,0.25,3.0,2.8,0.25,0.2,0.999,178.007
100.0 MHz,16.17,42.272,0.25,3.0,2.9,0.2,0.25,0.999,177.672
100.0 MHz,14.39,48.316,0.25,3.0,2.9,0.25,0.2,0.999,177.928
100.0 MHz,16.756,42.077,0.25,3.0,3.0,0.2,0.25,0.999,177.588
100.0 MHz,14.924,48.19,0.25,3.0,3.0,0.25,0.2,0.999,177.851
100.0 MHz,17.331,41.925,0.25,3.0,3.1,0.2,0.25,0.999,177.505
100.0 MHz,15.463,47.973,0.25,3.0,3.1,0.25,0.2,0.999,177.774
100.0 MHz,17.91,41.809,0.25,3.0,3.2,0.2,0.25,0.999,177.421
100.0 MHz,15.995,47.886,0.25,3.0,3.2,0.25,0.2,0.999,177.697
100.0 MHz,18.492,41.722,0.25,3.0,3.3,0.2,0.25,0.999,177.338
100.0 MHz,16.528,47.808,0.25,3.0,3.3,0.25,0.2,0.999,177.62
100.0 MHz,19.073,41.643,0.25,3.0,3.4,0.2,0.25,0.999,177.254
100.0 MHz,17.061,47.735,0.25,3.0,3.4,0.25,0.2,0.999,177.544
100.0 MHz,19.652,41.565,0.25,3.0,3.5,0.2,0.25,0.999,177.171
100.0 MHz,17.593,47.578,0.25,3.0,3.5,0.25,0.2,0.999,177.467
100.0 MHz,20.235,41.459,0.25,3.0,3.6,0.2,0.25,0.999,177.087
100.0 MHz,18.127,47.485,0.25,3.0,3.6,0.25,0.2,0.999,177.39
