freq,L,Q,N,L1,L2,W,S,"mag(S(1,1))","phase(S(1,1))"
300.0 MHz,16.081,67.038,0.25,2.7,2.9,0.2,0.25,0.998,173.062
300.0 MHz,14.318,75.889,0.25,2.7,2.9,0.25,0.2,0.999,173.82
300.0 MHz,16.663,66.711,0.25,2.7,3.0,0.2,0.25,0.998,172.811
300.0 MHz,14.85,75.681,0.25,2.7,3.0,0.25,0.2,0.999,173.592
300.0 MHz,17.235,66.462,0.25,2.7,3.1,0.2,0.25,0.998,172.565
300.0 MHz,15.386,75.325,0.25,2.7,3.1,0.25,0.2,0.998,173.361
300.0 MHz,17.81,66.269,0.25,2.7,3.2,0.2,0.25,0.998,172.317
300.0 MHz,15.914,75.186,0.25,2.7,3.2,0.25,0.2,0.998,173.133
300.0 MHz,18.389,66.115,0.25,2.7,3.3,0.2,0.25,0.998,172.068
300.0 MHz,16.446,75.06,0.25,2.7,3.3,0.25,0.2,0.998,172.905
300.0 MHz,18.967,65.977,0.25,2.7,3.4,0.2,0.25,0.998,171.82
300.0 MHz,16.976,74.939,0.25,2.7,3.4,0.25,0.2,0.998,172.676
300.0 MHz,19.543,65.845,0.25,2.7,3.5,0.2,0.25,0.998,171.573
300.0 MHz,17.505,74.663,0.25,2.7,3.5,0.25,0.2,0.998,172.449
300.0 MHz,20.123,65.662,0.25,2.7,3.6,0.2,0.25,0.998,171.324
300.0 MHz,18.036,74.504,0.25,2.7,3.6,0.25,0.2,0.998,172.22
300.0 MHz,20.725,66.845,0.25,2.7,3.7,0.2,0.25,0.998,171.065
300.0 MHz,18.57,75.778,0.25,2.7,3.7,0.25,0.2,0.998,171.991
300.0 MHz,21.306,66.741,0.25,2.7,3.8,0.2,0.25,0.998,170.815
300.0 MHz,19.112,75.459,0.25,2.7,3.8,0.25,0.2,0.998,171.758
300.0 MHz,21.891,66.537,0.25,2.7,3.9,0.2,0.25,0.998,170.564
300.0 MHz,22.463,66.343,0.25,2.7,4.0,0.2,0.25,0.997,170.319
300.0 MHz,23.043,66.256,0.25,2.7,4.1,0.2,0.25,0.997,170.07
300.0 MHz,23.623,66.13,0.25,2.7,4.2,0.2,0.25,0.997,169.822
300.0 MHz,24.204,66.039,0.25,2.7,4.3,0.2,0.25,0.997,169.573
300.0 MHz,24.784,65.954,0.25,2.7,4.4,0.2,0.25,0.997,169.324
300.0 MHz,25.366,65.878,0.25,2.7,4.5,0.2,0.25,0.997,169.075
300.0 MHz,25.944,65.806,0.25,2.7,4.6,0.2,0.25,0.997,168.828
300.0 MHz,26.527,65.68,0.25,2.7,4.7,0.2,0.25,0.997,168.578
300.0 MHz,27.138,66.443,0.25,2.7,4.8,0.2,0.25,0.997,168.317
300.0 MHz,27.709,66.289,0.25,2.7,4.9,0.2,0.3,0.997,168.073
300.0 MHz,25.0,75.051,0.25,2.7,4.9,0.25,0.3,0.998,169.232
300.0 MHz,28.291,66.226,0.25,2.7,5.0,0.2,0.3,0.997,167.824
300.0 MHz,25.538,74.94,0.25,2.7,5.0,0.25,0.3,0.997,169.001
300.0 MHz,14.41,48.629,0.25,2.8,2.0,0.1,0.1,,
300.0 MHz,10.902,67.964,0.25,2.8,2.0,0.2,0.2,0.999,175.293
300.0 MHz,11.475,67.311,0.25,2.8,2.1,0.2,0.2,0.999,175.046
300.0 MHz,12.612,66.409,0.25,2.8,2.3,0.2,0.2,0.999,174.556
300.0 MHz,13.181,66.118,0.25,2.8,2.4,0.2,0.2,0.999,174.31
300.0 MHz,13.754,65.733,0.25,2.8,2.5,0.2,0.25,0.998,174.064
300.0 MHz,12.196,74.801,0.25,2.8,2.5,0.25,0.2,0.999,174.735
300.0 MHz,14.351,67.661,0.25,2.8,2.6,0.2,0.25,0.998,173.806
300.0 MHz,12.708,78.347,0.25,2.8,2.6,0.25,0.2,0.999,174.514
300.0 MHz,14.931,67.41,0.25,2.8,2.7,0.2,0.25,0.998,173.557
300.0 MHz,13.243,76.848,0.25,2.8,2.7,0.25,0.2,0.999,174.284
300.0 MHz,15.505,67.191,0.25,2.8,2.8,0.2,0.25,0.998,173.309
300.0 MHz,13.772,76.61,0.25,2.8,2.8,0.25,0.2,0.999,174.056
300.0 MHz,16.081,67.038,0.25,2.8,2.9,0.2,0.25,0.998,173.062
300.0 MHz,14.318,75.889,0.25,2.8,2.9,0.25,0.2,0.999,173.82
300.0 MHz,16.663,66.711,0.25,2.8,3.0,0.2,0.25,0.998,172.811
300.0 MHz,14.85,75.681,0.25,2.8,3.0,0.25,0.2,0.999,173.592
300.0 MHz,17.235,66.462,0.25,2.8,3.1,0.2,0.25,0.998,172.565
300.0 MHz,15.386,75.325,0.25,2.8,3.1,0.25,0.2,0.998,173.361
300.0 MHz,17.81,66.269,0.25,2.8,3.2,0.2,0.25,0.998,172.317
300.0 MHz,15.914,75.186,0.25,2.8,3.2,0.25,0.2,0.998,173.133
300.0 MHz,18.389,66.115,0.25,2.8,3.3,0.2,0.25,0.998,172.068
300.0 MHz,16.446,75.06,0.25,2.8,3.3,0.25,0.2,0.998,172.905
300.0 MHz,18.967,65.977,0.25,2.8,3.4,0.2,0.25,0.998,171.82
300.0 MHz,16.976,74.939,0.25,2.8,3.4,0.25,0.2,0.998,172.676
300.0 MHz,19.543,65.845,0.25,2.8,3.5,0.2,0.25,0.998,171.573
300.0 MHz,17.505,74.663,0.25,2.8,3.5,0.25,0.2,0.998,172.449
300.0 MHz,20.123,65.662,0.25,2.8,3.6,0.2,0.25,0.998,171.324
300.0 MHz,18.036,74.504,0.25,2.8,3.6,0.25,0.2,0.998,172.22
300.0 MHz,20.725,66.845,0.25,2.8,3.7,0.2,0.25,0.998,171.065
300.0 MHz,18.57,75.778,0.25,2.8,3.7,0.25,0.2,0.998,171.991
300.0 MHz,21.306,66.741,0.25,2.8,3.8,0.2,0.25,0.998,170.815
300.0 MHz,19.112,75.459,0.25,2.8,3.8,0.25,0.2,0.998,171.758
300.0 MHz,21.891,66.537,0.25,2.8,3.9,0.2,0.25,0.998,170.564
300.0 MHz,22.463,66.343,0.25,2.8,4.0,0.2,0.25,0.997,170.319
300.0 MHz,23.043,66.256,0.25,2.8,4.1,0.2,0.25,0.997,170.07
300.0 MHz,23.623,66.13,0.25,2.8,4.2,0.2,0.25,0.997,169.822
300.0 MHz,24.204,66.039,0.25,2.8,4.3,0.2,0.25,0.997,169.573
300.0 MHz,24.784,65.954,0.25,2.8,4.4,0.2,0.25,0.997,169.324
300.0 MHz,25.366,65.878,0.25,2.8,4.5,0.2,0.25,0.997,169.075
300.0 MHz,25.944,65.806,0.25,2.8,4.6,0.2,0.25,0.997,168.828
300.0 MHz,26.527,65.68,0.25,2.8,4.7,0.2,0.25,0.997,168.578
300.0 MHz,27.138,66.443,0.25,2.8,4.8,0.2,0.25,0.997,168.317
300.0 MHz,27.709,66.289,0.25,2.8,4.9,0.2,0.3,0.997,168.073
300.0 MHz,25.0,75.051,0.25,2.8,4.9,0.25,0.3,0.998,169.232
300.0 MHz,28.291,66.226,0.25,2.8,5.0,0.2,0.3,0.997,167.824
300.0 MHz,25.538,74.94,0.25,2.8,5.0,0.25,0.3,0.997,169.001
300.0 MHz,14.41,48.629,0.25,2.9,2.0,0.1,0.1,,
300.0 MHz,10.902,67.964,0.25,2.9,2.0,0.2,0.2,0.999,175.293
300.0 MHz,11.475,67.311,0.25,2.9,2.1,0.2,0.2,0.999,175.046
300.0 MHz,13.181,66.118,0.25,2.9,2.4,0.2,0.2,0.999,174.31
300.0 MHz,13.754,65.733,0.25,2.9,2.5,0.2,0.25,0.998,174.064
300.0 MHz,12.196,74.801,0.25,2.9,2.5,0.25,0.2,0.999,174.735
300.0 MHz,14.351,67.661,0.25,2.9,2.6,0.2,0.25,0.998,173.806
300.0 MHz,12.708,78.347,0.25,2.9,2.6,0.25,0.2,0.999,174.514
300.0 MHz,14.931,67.41,0.25,2.9,2.7,0.2,0.25,0.998,173.557
300.0 MHz,13.243,76.848,0.25,2.9,2.7,0.25,0.2,0.999,174.284
300.0 MHz,15.505,67.191,0.25,2.9,2.8,0.2,0.25,0.998,173.309
300.0 MHz,13.772,76.61,0.25,2.9,2.8,0.25,0.2,0.999,174.056
300.0 MHz,16.081,67.038,0.25,2.9,2.9,0.2,0.25,0.998,173.062
300.0 MHz,14.318,75.889,0.25,2.9,2.9,0.25,0.2,0.999,173.82
300.0 MHz,16.663,66.711,0.25,2.9,3.0,0.2,0.25,0.998,172.811
300.0 MHz,14.85,75.681,0.25,2.9,3.0,0.25,0.2,0.999,173.592
300.0 MHz,17.235,66.462,0.25,2.9,3.1,0.2,0.25,0.998,172.565
300.0 MHz,15.386,75.325,0.25,2.9,3.1,0.25,0.2,0.998,173.361
300.0 MHz,17.81,66.269,0.25,2.9,3.2,0.2,0.25,0.998,172.317
300.0 MHz,15.914,75.186,0.25,2.9,3.2,0.25,0.2,0.998,173.133
300.0 MHz,18.389,66.115,0.25,2.9,3.3,0.2,0.25,0.998,172.068
300.0 MHz,16.446,75.06,0.25,2.9,3.3,0.25,0.2,0.998,172.905
300.0 MHz,18.967,65.977,0.25,2.9,3.4,0.2,0.25,0.998,171.82
300.0 MHz,16.976,74.939,0.25,2.9,3.4,0.25,0.2,0.998,172.676
300.0 MHz,19.543,65.845,0.25,2.9,3.5,0.2,0.25,0.998,171.573
300.0 MHz,17.505,74.663,0.25,2.9,3.5,0.25,0.2,0.998,172.449
300.0 MHz,20.123,65.662,0.25,2.9,3.6,0.2,0.25,0.998,171.324
300.0 MHz,18.036,74.504,0.25,2.9,3.6,0.25,0.2,0.998,172.22
300.0 MHz,20.725,66.845,0.25,2.9,3.7,0.2,0.25,0.998,171.065
300.0 MHz,18.57,75.778,0.25,2.9,3.7,0.25,0.2,0.998,171.991
300.0 MHz,21.306,66.741,0.25,2.9,3.8,0.2,0.25,0.998,170.815
300.0 MHz,19.112,75.459,0.25,2.9,3.8,0.25,0.2,0.998,171.758
300.0 MHz,21.891,66.537,0.25,2.9,3.9,0.2,0.25,0.998,170.564
300.0 MHz,22.463,66.343,0.25,2.9,4.0,0.2,0.25,0.997,170.319
300.0 MHz,23.043,66.256,0.25,2.9,4.1,0.2,0.25,0.997,170.07
300.0 MHz,23.623,66.13,0.25,2.9,4.2,0.2,0.25,0.997,169.822
300.0 MHz,24.204,66.039,0.25,2.9,4.3,0.2,0.25,0.997,169.573
300.0 MHz,24.784,65.954,0.25,2.9,4.4,0.2,0.25,0.997,169.324
300.0 MHz,25.366,65.878,0.25,2.9,4.5,0.2,0.25,0.997,169.075
300.0 MHz,25.944,65.806,0.25,2.9,4.6,0.2,0.25,0.997,168.828
300.0 MHz,26.527,65.68,0.25,2.9,4.7,0.2,0.25,0.997,168.578
300.0 MHz,27.138,66.443,0.25,2.9,4.8,0.2,0.25,0.997,168.317
300.0 MHz,27.709,66.289,0.25,2.9,4.9,0.2,0.3,0.997,168.073
300.0 MHz,25.0,75.051,0.25,2.9,4.9,0.25,0.3,0.998,169.232
300.0 MHz,28.291,66.226,0.25,2.9,5.0,0.2,0.3,0.997,167.824
300.0 MHz,25.538,74.94,0.25,2.9,5.0,0.25,0.3,0.997,169.001
300.0 MHz,14.41,48.629,0.25,3.0,2.0,0.1,0.1,,
300.0 MHz,10.902,67.964,0.25,3.0,2.0,0.2,0.2,0.999,175.293
300.0 MHz,11.475,67.311,0.25,3.0,2.1,0.2,0.2,0.999,175.046
300.0 MHz,13.181,66.118,0.25,3.0,2.4,0.2,0.2,0.999,174.31
300.0 MHz,13.754,65.733,0.25,3.0,2.5,0.2,0.25,0.998,174.064
300.0 MHz,12.196,74.801,0.25,3.0,2.5,0.25,0.2,0.999,174.735
300.0 MHz,14.351,67.661,0.25,3.0,2.6,0.2,0.25,0.998,173.806
300.0 MHz,12.708,78.347,0.25,3.0,2.6,0.25,0.2,0.999,174.514
300.0 MHz,14.931,67.41,0.25,3.0,2.7,0.2,0.25,0.998,173.557
300.0 MHz,13.243,76.848,0.25,3.0,2.7,0.25,0.2,0.999,174.284
300.0 MHz,15.505,67.191,0.25,3.0,2.8,0.2,0.25,0.998,173.309
300.0 MHz,13.772,76.61,0.25,3.0,2.8,0.25,0.2,0.999,174.056
300.0 MHz,16.081,67.038,0.25,3.0,2.9,0.2,0.25,0.998,173.062
300.0 MHz,14.318,75.889,0.25,3.0,2.9,0.25,0.2,0.999,173.82
300.0 MHz,16.663,66.711,0.25,3.0,3.0,0.2,0.25,0.998,172.811
300.0 MHz,14.85,75.681,0.25,3.0,3.0,0.25,0.2,0.999,173.592
300.0 MHz,17.235,66.462,0.25,3.0,3.1,0.2,0.25,0.998,172.565
300.0 MHz,15.386,75.325,0.25,3.0,3.1,0.25,0.2,0.998,173.361
300.0 MHz,17.81,66.269,0.25,3.0,3.2,0.2,0.25,0.998,172.317
300.0 MHz,15.914,75.186,0.25,3.0,3.2,0.25,0.2,0.998,173.133
300.0 MHz,18.389,66.115,0.25,3.0,3.3,0.2,0.25,0.998,172.068
300.0 MHz,16.446,75.06,0.25,3.0,3.3,0.25,0.2,0.998,172.905
300.0 MHz,18.967,65.977,0.25,3.0,3.4,0.2,0.25,0.998,171.82
300.0 MHz,16.976,74.939,0.25,3.0,3.4,0.25,0.2,0.998,172.676
300.0 MHz,19.543,65.845,0.25,3.0,3.5,0.2,0.25,0.998,171.573
300.0 MHz,17.505,74.663,0.25,3.0,3.5,0.25,0.2,0.998,172.449
300.0 MHz,20.123,65.662,0.25,3.0,3.6,0.2,0.25,0.998,171.324
300.0 MHz,18.036,74.504,0.25,3.0,3.6,0.25,0.2,0.998,172.22
