freq,L,Q,N,L1,L2,W,S,"mag(S(1,1))","phase(S(1,1))"
800.0 MHz,20.643,97.896,0.25,3.0,3.7,0.2,0.25,0.996,156.552
800.0 MHz,18.51,111.155,0.25,3.0,3.7,0.25,0.2,0.997,158.918
800.0 MHz,21.225,97.719,0.25,3.0,3.8,0.2,0.25,0.996,155.91
800.0 MHz,19.051,110.702,0.25,3.0,3.8,0.25,0.2,0.997,158.316
800.0 MHz,21.809,97.408,0.25,3.0,3.9,0.2,0.25,0.996,155.267
800.0 MHz,22.382,97.142,0.25,3.0,4.0,0.2,0.25,0.996,154.639
800.0 MHz,22.962,96.997,0.25,3.0,4.1,0.2,0.25,0.995,154.003
800.0 MHz,23.542,96.794,0.25,3.0,4.2,0.2,0.25,0.995,153.369
800.0 MHz,24.124,96.638,0.25,3.0,4.3,0.2,0.25,0.995,152.735
800.0 MHz,24.705,96.494,0.25,3.0,4.4,0.2,0.25,0.995,152.104
800.0 MHz,25.288,96.362,0.25,3.0,4.5,0.2,0.25,0.995,151.473
800.0 MHz,25.868,96.246,0.25,3.0,4.6,0.2,0.25,0.995,150.845
800.0 MHz,26.452,96.041,0.25,3.0,4.7,0.2,0.25,0.995,150.216
800.0 MHz,27.068,97.139,0.25,3.0,4.8,0.2,0.25,0.995,149.555
800.0 MHz,27.641,96.932,0.25,3.0,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,3.0,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,3.0,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,3.0,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,3.1,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,3.1,2.0,0.2,0.2,0.998,167.556
800.0 MHz,11.414,98.745,0.25,3.1,2.1,0.2,0.2,0.998,166.908
800.0 MHz,13.113,96.976,0.25,3.1,2.4,0.2,0.2,0.997,164.981
800.0 MHz,13.683,96.381,0.25,3.1,2.5,0.2,0.25,0.997,164.335
800.0 MHz,12.142,109.981,0.25,3.1,2.5,0.25,0.2,0.998,166.081
800.0 MHz,14.281,99.339,0.25,3.1,2.6,0.2,0.25,0.997,163.66
800.0 MHz,12.656,115.118,0.25,3.1,2.6,0.25,0.2,0.998,165.499
800.0 MHz,14.859,98.85,0.25,3.1,2.7,0.2,0.25,0.997,163.008
800.0 MHz,13.189,112.875,0.25,3.1,2.7,0.25,0.2,0.998,164.895
800.0 MHz,15.432,98.503,0.25,3.1,2.8,0.2,0.25,0.997,162.363
800.0 MHz,13.716,112.532,0.25,3.1,2.8,0.25,0.2,0.998,164.298
800.0 MHz,16.006,98.261,0.25,3.1,2.9,0.2,0.25,0.997,161.718
800.0 MHz,14.261,111.473,0.25,3.1,2.9,0.25,0.2,0.997,163.683
800.0 MHz,16.586,97.767,0.25,3.1,3.0,0.2,0.25,0.997,161.067
800.0 MHz,14.791,111.15,0.25,3.1,3.0,0.25,0.2,0.997,163.085
800.0 MHz,17.156,97.418,0.25,3.1,3.1,0.2,0.25,0.997,160.429
800.0 MHz,15.326,110.609,0.25,3.1,3.1,0.25,0.2,0.997,162.483
800.0 MHz,17.73,97.133,0.25,3.1,3.2,0.2,0.25,0.996,159.787
800.0 MHz,15.854,110.405,0.25,3.1,3.2,0.25,0.2,0.997,161.889
800.0 MHz,18.308,96.879,0.25,3.1,3.3,0.2,0.25,0.996,159.142
800.0 MHz,16.384,110.219,0.25,3.1,3.3,0.25,0.2,0.997,161.293
800.0 MHz,18.885,96.659,0.25,3.1,3.4,0.2,0.25,0.996,158.5
800.0 MHz,16.914,110.03,0.25,3.1,3.4,0.25,0.2,0.997,160.7
800.0 MHz,19.46,96.458,0.25,3.1,3.5,0.2,0.25,0.996,157.862
800.0 MHz,17.442,109.605,0.25,3.1,3.5,0.25,0.2,0.997,160.109
800.0 MHz,20.039,96.169,0.25,3.1,3.6,0.2,0.25,0.996,157.22
800.0 MHz,17.973,109.352,0.25,3.1,3.6,0.25,0.2,0.997,159.516
800.0 MHz,20.643,97.896,0.25,3.1,3.7,0.2,0.25,0.996,156.552
800.0 MHz,18.51,111.155,0.25,3.1,3.7,0.25,0.2,0.997,158.918
800.0 MHz,21.225,97.719,0.25,3.1,3.8,0.2,0.25,0.996,155.91
800.0 MHz,21.809,97.408,0.25,3.1,3.9,0.2,0.25,0.996,155.267
800.0 MHz,22.382,97.142,0.25,3.1,4.0,0.2,0.25,0.996,154.639
800.0 MHz,22.962,96.997,0.25,3.1,4.1,0.2,0.25,0.995,154.003
800.0 MHz,23.542,96.794,0.25,3.1,4.2,0.2,0.25,0.995,153.369
800.0 MHz,24.124,96.638,0.25,3.1,4.3,0.2,0.25,0.995,152.735
800.0 MHz,24.705,96.494,0.25,3.1,4.4,0.2,0.25,0.995,152.104
800.0 MHz,25.288,96.362,0.25,3.1,4.5,0.2,0.25,0.995,151.473
800.0 MHz,25.868,96.246,0.25,3.1,4.6,0.2,0.25,0.995,150.845
800.0 MHz,26.452,96.041,0.25,3.1,4.7,0.2,0.25,0.995,150.216
800.0 MHz,27.068,97.139,0.25,3.1,4.8,0.2,0.25,0.995,149.555
800.0 MHz,27.641,96.932,0.25,3.1,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,3.1,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,3.1,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,3.1,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,3.2,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,3.2,2.0,0.2,0.2,0.998,167.556
800.0 MHz,11.414,98.745,0.25,3.2,2.1,0.2,0.2,0.998,166.908
800.0 MHz,13.113,96.976,0.25,3.2,2.4,0.2,0.2,0.997,164.981
800.0 MHz,13.683,96.381,0.25,3.2,2.5,0.2,0.25,0.997,164.335
800.0 MHz,12.142,109.981,0.25,3.2,2.5,0.25,0.2,0.998,166.081
800.0 MHz,14.281,99.339,0.25,3.2,2.6,0.2,0.25,0.997,163.66
800.0 MHz,12.656,115.118,0.25,3.2,2.6,0.25,0.2,0.998,165.499
800.0 MHz,14.859,98.85,0.25,3.2,2.7,0.2,0.25,0.997,163.008
800.0 MHz,13.189,112.875,0.25,3.2,2.7,0.25,0.2,0.998,164.895
800.0 MHz,15.432,98.503,0.25,3.2,2.8,0.2,0.25,0.997,162.363
800.0 MHz,13.716,112.532,0.25,3.2,2.8,0.25,0.2,0.998,164.298
800.0 MHz,16.006,98.261,0.25,3.2,2.9,0.2,0.25,0.997,161.718
800.0 MHz,14.261,111.473,0.25,3.2,2.9,0.25,0.2,0.997,163.683
800.0 MHz,16.586,97.767,0.25,3.2,3.0,0.2,0.25,0.997,161.067
800.0 MHz,14.791,111.15,0.25,3.2,3.0,0.25,0.2,0.997,163.085
800.0 MHz,17.156,97.418,0.25,3.2,3.1,0.2,0.25,0.997,160.429
800.0 MHz,15.326,110.609,0.25,3.2,3.1,0.25,0.2,0.997,162.483
800.0 MHz,17.73,97.133,0.25,3.2,3.2,0.2,0.25,0.996,159.787
800.0 MHz,15.854,110.405,0.25,3.2,3.2,0.25,0.2,0.997,161.889
800.0 MHz,18.308,96.879,0.25,3.2,3.3,0.2,0.25,0.996,159.142
800.0 MHz,16.384,110.219,0.25,3.2,3.3,0.25,0.2,0.997,161.293
800.0 MHz,18.885,96.659,0.25,3.2,3.4,0.2,0.25,0.996,158.5
800.0 MHz,16.914,110.03,0.25,3.2,3.4,0.25,0.2,0.997,160.7
800.0 MHz,19.46,96.458,0.25,3.2,3.5,0.2,0.25,0.996,157.862
800.0 MHz,17.442,109.605,0.25,3.2,3.5,0.25,0.2,0.997,160.109
800.0 MHz,20.039,96.169,0.25,3.2,3.6,0.2,0.25,0.996,157.22
800.0 MHz,17.973,109.352,0.25,3.2,3.6,0.25,0.2,0.997,159.516
800.0 MHz,20.643,97.896,0.25,3.2,3.7,0.2,0.25,0.996,156.552
800.0 MHz,18.51,111.155,0.25,3.2,3.7,0.25,0.2,0.997,158.918
800.0 MHz,21.225,97.719,0.25,3.2,3.8,0.2,0.25,0.996,155.91
800.0 MHz,21.809,97.408,0.25,3.2,3.9,0.2,0.25,0.996,155.267
800.0 MHz,22.382,97.142,0.25,3.2,4.0,0.2,0.25,0.996,154.639
800.0 MHz,22.962,96.997,0.25,3.2,4.1,0.2,0.25,0.995,154.003
800.0 MHz,23.542,96.794,0.25,3.2,4.2,0.2,0.25,0.995,153.369
800.0 MHz,24.124,96.638,0.25,3.2,4.3,0.2,0.25,0.995,152.735
800.0 MHz,24.705,96.494,0.25,3.2,4.4,0.2,0.25,0.995,152.104
800.0 MHz,25.288,96.362,0.25,3.2,4.5,0.2,0.25,0.995,151.473
800.0 MHz,25.868,96.246,0.25,3.2,4.6,0.2,0.25,0.995,150.845
800.0 MHz,26.452,96.041,0.25,3.2,4.7,0.2,0.25,0.995,150.216
800.0 MHz,27.068,97.139,0.25,3.2,4.8,0.2,0.25,0.995,149.555
800.0 MHz,27.641,96.932,0.25,3.2,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,3.2,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,3.2,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,3.2,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,3.3,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,3.3,2.0,0.2,0.2,0.998,167.556
800.0 MHz,11.414,98.745,0.25,3.3,2.1,0.2,0.2,0.998,166.908
800.0 MHz,13.113,96.976,0.25,3.3,2.4,0.2,0.2,0.997,164.981
800.0 MHz,13.683,96.381,0.25,3.3,2.5,0.2,0.25,0.997,164.335
800.0 MHz,12.142,109.981,0.25,3.3,2.5,0.25,0.2,0.998,166.081
800.0 MHz,14.281,99.339,0.25,3.3,2.6,0.2,0.25,0.997,163.66
800.0 MHz,12.656,115.118,0.25,3.3,2.6,0.25,0.2,0.998,165.499
800.0 MHz,14.859,98.85,0.25,3.3,2.7,0.2,0.25,0.997,163.008
800.0 MHz,13.189,112.875,0.25,3.3,2.7,0.25,0.2,0.998,164.895
800.0 MHz,15.432,98.503,0.25,3.3,2.8,0.2,0.25,0.997,162.363
800.0 MHz,13.716,112.532,0.25,3.3,2.8,0.25,0.2,0.998,164.298
800.0 MHz,16.006,98.261,0.25,3.3,2.9,0.2,0.25,0.997,161.718
800.0 MHz,14.261,111.473,0.25,3.3,2.9,0.25,0.2,0.997,163.683
800.0 MHz,16.586,97.767,0.25,3.3,3.0,0.2,0.25,0.997,161.067
800.0 MHz,14.791,111.15,0.25,3.3,3.0,0.25,0.2,0.997,163.085
800.0 MHz,17.156,97.418,0.25,3.3,3.1,0.2,0.25,0.997,160.429
800.0 MHz,15.326,110.609,0.25,3.3,3.1,0.25,0.2,0.997,162.483
800.0 MHz,17.73,97.133,0.25,3.3,3.2,0.2,0.25,0.996,159.787
800.0 MHz,15.854,110.405,0.25,3.3,3.2,0.25,0.2,0.997,161.889
800.0 MHz,18.308,96.879,0.25,3.3,3.3,0.2,0.25,0.996,159.142
800.0 MHz,16.384,110.219,0.25,3.3,3.3,0.25,0.2,0.997,161.293
800.0 MHz,18.885,96.659,0.25,3.3,3.4,0.2,0.25,0.996,158.5
800.0 MHz,16.914,110.03,0.25,3.3,3.4,0.25,0.2,0.997,160.7
800.0 MHz,19.46,96.458,0.25,3.3,3.5,0.2,0.25,0.996,157.862
800.0 MHz,17.442,109.605,0.25,3.3,3.5,0.25,0.2,0.997,160.109
800.0 MHz,20.039,96.169,0.25,3.3,3.6,0.2,0.25,0.996,157.22
800.0 MHz,17.973,109.352,0.25,3.3,3.6,0.25,0.2,0.997,159.516
800.0 MHz,20.643,97.896,0.25,3.3,3.7,0.2,0.25,0.996,156.552
800.0 MHz,18.51,111.155,0.25,3.3,3.7,0.25,0.2,0.997,158.918
800.0 MHz,21.225,97.719,0.25,3.3,3.8,0.2,0.25,0.996,155.91
800.0 MHz,21.809,97.408,0.25,3.3,3.9,0.2,0.25,0.996,155.267
800.0 MHz,22.382,97.142,0.25,3.3,4.0,0.2,0.25,0.996,154.639
800.0 MHz,22.962,96.997,0.25,3.3,4.1,0.2,0.25,0.995,154.003
800.0 MHz,23.542,96.794,0.25,3.3,4.2,0.2,0.25,0.995,153.369
800.0 MHz,24.124,96.638,0.25,3.3,4.3,0.2,0.25,0.995,152.735
800.0 MHz,24.705,96.494,0.25,3.3,4.4,0.2,0.25,0.995,152.104
800.0 MHz,25.288,96.362,0.25,3.3,4.5,0.2,0.25,0.995,151.473
800.0 MHz,25.868,96.246,0.25,3.3,4.6,0.2,0.25,0.995,150.845
800.0 MHz,26.452,96.041,0.25,3.3,4.7,0.2,0.25,0.995,150.216
800.0 MHz,27.068,97.139,0.25,3.3,4.8,0.2,0.25,0.995,149.555
800.0 MHz,27.641,96.932,0.25,3.3,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,3.3,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,3.3,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,3.3,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,3.4,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,3.4,2.0,0.2,0.2,0.998,167.556
800.0 MHz,11.414,98.745,0.25,3.4,2.1,0.2,0.2,0.998,166.908
800.0 MHz,11.977,97.96,0.25,3.4,2.2,0.2,0.2,0.998,166.269
800.0 MHz,13.113,96.976,0.25,3.4,2.4,0.2,0.2,0.997,164.981
800.0 MHz,13.683,96.381,0.25,3.4,2.5,0.2,0.25,0.997,164.335
800.0 MHz,12.142,109.981,0.25,3.4,2.5,0.25,0.2,0.998,166.081
800.0 MHz,14.281,99.339,0.25,3.4,2.6,0.2,0.25,0.997,163.66
800.0 MHz,12.656,115.118,0.25,3.4,2.6,0.25,0.2,0.998,165.499
800.0 MHz,14.859,98.85,0.25,3.4,2.7,0.2,0.25,0.997,163.008
800.0 MHz,13.189,112.875,0.25,3.4,2.7,0.25,0.2,0.998,164.895
800.0 MHz,15.432,98.503,0.25,3.4,2.8,0.2,0.25,0.997,162.363
800.0 MHz,13.716,112.532,0.25,3.4,2.8,0.25,0.2,0.998,164.298
800.0 MHz,16.006,98.261,0.25,3.4,2.9,0.2,0.25,0.997,161.718
800.0 MHz,14.261,111.473,0.25,3.4,2.9,0.25,0.2,0.997,163.683
800.0 MHz,16.586,97.767,0.25,3.4,3.0,0.2,0.25,0.997,161.067
800.0 MHz,14.791,111.15,0.25,3.4,3.0,0.25,0.2,0.997,163.085
800.0 MHz,17.156,97.418,0.25,3.4,3.1,0.2,0.25,0.997,160.429
800.0 MHz,15.326,110.609,0.25,3.4,3.1,0.25,0.2,0.997,162.483
800.0 MHz,17.73,97.133,0.25,3.4,3.2,0.2,0.25,0.996,159.787
800.0 MHz,15.854,110.405,0.25,3.4,3.2,0.25,0.2,0.997,161.889
800.0 MHz,18.308,96.879,0.25,3.4,3.3,0.2,0.25,0.996,159.142
800.0 MHz,16.384,110.219,0.25,3.4,3.3,0.25,0.2,0.997,161.293
800.0 MHz,18.885,96.659,0.25,3.4,3.4,0.2,0.25,0.996,158.5
800.0 MHz,16.914,110.03,0.25,3.4,3.4,0.25,0.2,0.997,160.7
800.0 MHz,19.46,96.458,0.25,3.4,3.5,0.2,0.25,0.996,157.862
800.0 MHz,17.442,109.605,0.25,3.4,3.5,0.25,0.2,0.997,160.109
800.0 MHz,20.039,96.169,0.25,3.4,3.6,0.2,0.25,0.996,157.22
800.0 MHz,17.973,109.352,0.25,3.4,3.6,0.25,0.2,0.997,159.516
800.0 MHz,20.643,97.896,0.25,3.4,3.7,0.2,0.25,0.996,156.552
800.0 MHz,18.51,111.155,0.25,3.4,3.7,0.25,0.2,0.997,158.918
800.0 MHz,21.225,97.719,0.25,3.4,3.8,0.2,0.25,0.996,155.91
800.0 MHz,21.809,97.408,0.25,3.4,3.9,0.2,0.25,0.996,155.267
800.0 MHz,22.382,97.142,0.25,3.4,4.0,0.2,0.25,0.996,154.639
800.0 MHz,22.962,96.997,0.25,3.4,4.1,0.2,0.25,0.995,154.003
800.0 MHz,23.542,96.794,0.25,3.4,4.2,0.2,0.25,0.995,153.369
800.0 MHz,24.124,96.638,0.25,3.4,4.3,0.2,0.25,0.995,152.735
800.0 MHz,24.705,96.494,0.25,3.4,4.4,0.2,0.25,0.995,152.104
800.0 MHz,25.288,96.362,0.25,3.4,4.5,0.2,0.25,0.995,151.473
800.0 MHz,25.868,96.246,0.25,3.4,4.6,0.2,0.25,0.995,150.845
800.0 MHz,26.452,96.041,0.25,3.4,4.7,0.2,0.25,0.995,150.216
800.0 MHz,27.068,97.139,0.25,3.4,4.8,0.2,0.25,0.995,149.555
800.0 MHz,27.641,96.932,0.25,3.4,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,3.4,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,3.4,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,3.4,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,3.5,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,3.5,2.0,0.2,0.2,0.998,167.556
800.0 MHz,11.414,98.745,0.25,3.5,2.1,0.2,0.2,0.998,166.908
800.0 MHz,13.113,96.976,0.25,3.5,2.4,0.2,0.2,0.997,164.981
800.0 MHz,13.683,96.381,0.25,3.5,2.5,0.2,0.25,0.997,164.335
800.0 MHz,12.142,109.981,0.25,3.5,2.5,0.25,0.2,0.998,166.081
800.0 MHz,14.281,99.339,0.25,3.5,2.6,0.2,0.25,0.997,163.66
800.0 MHz,12.656,115.118,0.25,3.5,2.6,0.25,0.2,0.998,165.499
800.0 MHz,14.859,98.85,0.25,3.5,2.7,0.2,0.25,0.997,163.008
800.0 MHz,13.189,112.875,0.25,3.5,2.7,0.25,0.2,0.998,164.895
800.0 MHz,15.432,98.503,0.25,3.5,2.8,0.2,0.25,0.997,162.363
800.0 MHz,13.716,112.532,0.25,3.5,2.8,0.25,0.2,0.998,164.298
800.0 MHz,16.006,98.261,0.25,3.5,2.9,0.2,0.25,0.997,161.718
800.0 MHz,14.261,111.473,0.25,3.5,2.9,0.25,0.2,0.997,163.683
800.0 MHz,16.586,97.767,0.25,3.5,3.0,0.2,0.25,0.997,161.067
800.0 MHz,14.791,111.15,0.25,3.5,3.0,0.25,0.2,0.997,163.085
800.0 MHz,17.156,97.418,0.25,3.5,3.1,0.2,0.25,0.997,160.429
800.0 MHz,15.326,110.609,0.25,3.5,3.1,0.25,0.2,0.997,162.483
800.0 MHz,17.73,97.133,0.25,3.5,3.2,0.2,0.25,0.996,159.787
800.0 MHz,15.854,110.405,0.25,3.5,3.2,0.25,0.2,0.997,161.889
800.0 MHz,18.308,96.879,0.25,3.5,3.3,0.2,0.25,0.996,159.142
800.0 MHz,16.384,110.219,0.25,3.5,3.3,0.25,0.2,0.997,161.293
800.0 MHz,18.885,96.659,0.25,3.5,3.4,0.2,0.25,0.996,158.5
800.0 MHz,16.914,110.03,0.25,3.5,3.4,0.25,0.2,0.997,160.7
800.0 MHz,19.46,96.458,0.25,3.5,3.5,0.2,0.25,0.996,157.862
800.0 MHz,17.442,109.605,0.25,3.5,3.5,0.25,0.2,0.997,160.109
800.0 MHz,20.039,96.169,0.25,3.5,3.6,0.2,0.25,0.996,157.22
800.0 MHz,17.973,109.352,0.25,3.5,3.6,0.25,0.2,0.997,159.516
800.0 MHz,20.643,97.896,0.25,3.5,3.7,0.2,0.25,0.996,156.552
800.0 MHz,18.51,111.155,0.25,3.5,3.7,0.25,0.2,0.997,158.918
800.0 MHz,21.225,97.719,0.25,3.5,3.8,0.2,0.25,0.996,155.91
800.0 MHz,21.809,97.408,0.25,3.5,3.9,0.2,0.25,0.996,155.267
800.0 MHz,22.382,97.142,0.25,3.5,4.0,0.2,0.25,0.996,154.639
800.0 MHz,22.962,96.997,0.25,3.5,4.1,0.2,0.25,0.995,154.003
800.0 MHz,23.542,96.794,0.25,3.5,4.2,0.2,0.25,0.995,153.369
800.0 MHz,24.124,96.638,0.25,3.5,4.3,0.2,0.25,0.995,152.735
800.0 MHz,24.705,96.494,0.25,3.5,4.4,0.2,0.25,0.995,152.104
800.0 MHz,25.288,96.362,0.25,3.5,4.5,0.2,0.25,0.995,151.473
800.0 MHz,25.868,96.246,0.25,3.5,4.6,0.2,0.25,0.995,150.845
800.0 MHz,26.452,96.041,0.25,3.5,4.7,0.2,0.25,0.995,150.216
800.0 MHz,27.068,97.139,0.25,3.5,4.8,0.2,0.25,0.995,149.555
800.0 MHz,27.641,96.932,0.25,3.5,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,3.5,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,3.5,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,3.5,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,3.6,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,3.6,2.0,0.2,0.2,0.998,167.556
800.0 MHz,11.414,98.745,0.25,3.6,2.1,0.2,0.2,0.998,166.908
800.0 MHz,13.113,96.976,0.25,3.6,2.4,0.2,0.2,0.997,164.981
800.0 MHz,13.683,96.381,0.25,3.6,2.5,0.2,0.25,0.997,164.335
800.0 MHz,12.142,109.981,0.25,3.6,2.5,0.25,0.2,0.998,166.081
800.0 MHz,14.281,99.339,0.25,3.6,2.6,0.2,0.25,0.997,163.66
800.0 MHz,12.656,115.118,0.25,3.6,2.6,0.25,0.2,0.998,165.499
800.0 MHz,14.859,98.85,0.25,3.6,2.7,0.2,0.25,0.997,163.008
800.0 MHz,13.189,112.875,0.25,3.6,2.7,0.25,0.2,0.998,164.895
800.0 MHz,15.432,98.503,0.25,3.6,2.8,0.2,0.25,0.997,162.363
800.0 MHz,13.716,112.532,0.25,3.6,2.8,0.25,0.2,0.998,164.298
800.0 MHz,16.006,98.261,0.25,3.6,2.9,0.2,0.25,0.997,161.718
800.0 MHz,14.261,111.473,0.25,3.6,2.9,0.25,0.2,0.997,163.683
800.0 MHz,16.586,97.767,0.25,3.6,3.0,0.2,0.25,0.997,161.067
800.0 MHz,14.791,111.15,0.25,3.6,3.0,0.25,0.2,0.997,163.085
800.0 MHz,17.156,97.418,0.25,3.6,3.1,0.2,0.25,0.997,160.429
800.0 MHz,15.326,110.609,0.25,3.6,3.1,0.25,0.2,0.997,162.483
800.0 MHz,17.73,97.133,0.25,3.6,3.2,0.2,0.25,0.996,159.787
800.0 MHz,15.854,110.405,0.25,3.6,3.2,0.25,0.2,0.997,161.889
800.0 MHz,18.308,96.879,0.25,3.6,3.3,0.2,0.25,0.996,159.142
800.0 MHz,16.384,110.219,0.25,3.6,3.3,0.25,0.2,0.997,161.293
800.0 MHz,18.885,96.659,0.25,3.6,3.4,0.2,0.25,0.996,158.5
800.0 MHz,16.914,110.03,0.25,3.6,3.4,0.25,0.2,0.997,160.7
800.0 MHz,19.46,96.458,0.25,3.6,3.5,0.2,0.25,0.996,157.862
800.0 MHz,17.442,109.605,0.25,3.6,3.5,0.25,0.2,0.997,160.109
800.0 MHz,20.039,96.169,0.25,3.6,3.6,0.2,0.25,0.996,157.22
800.0 MHz,17.973,109.352,0.25,3.6,3.6,0.25,0.2,0.997,159.516
800.0 MHz,20.643,97.896,0.25,3.6,3.7,0.2,0.25,0.996,156.552
800.0 MHz,18.51,111.155,0.25,3.6,3.7,0.25,0.2,0.997,158.918
800.0 MHz,21.225,97.719,0.25,3.6,3.8,0.2,0.25,0.996,155.91
800.0 MHz,21.809,97.408,0.25,3.6,3.9,0.2,0.25,0.996,155.267
800.0 MHz,22.382,97.142,0.25,3.6,4.0,0.2,0.25,0.996,154.639
800.0 MHz,22.962,96.997,0.25,3.6,4.1,0.2,0.25,0.995,154.003
800.0 MHz,23.542,96.794,0.25,3.6,4.2,0.2,0.25,0.995,153.369
800.0 MHz,24.124,96.638,0.25,3.6,4.3,0.2,0.25,0.995,152.735
800.0 MHz,24.705,96.494,0.25,3.6,4.4,0.2,0.25,0.995,152.104
800.0 MHz,25.288,96.362,0.25,3.6,4.5,0.2,0.25,0.995,151.473
800.0 MHz,25.868,96.246,0.25,3.6,4.6,0.2,0.25,0.995,150.845
800.0 MHz,26.452,96.041,0.25,3.6,4.7,0.2,0.25,0.995,150.216
800.0 MHz,27.068,97.139,0.25,3.6,4.8,0.2,0.25,0.995,149.555
800.0 MHz,27.641,96.932,0.25,3.6,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,3.6,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,3.6,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,3.6,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,3.7,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,3.7,2.0,0.2,0.2,0.998,167.556
800.0 MHz,11.414,98.745,0.25,3.7,2.1,0.2,0.2,0.998,166.908
800.0 MHz,13.113,96.976,0.25,3.7,2.4,0.2,0.2,0.997,164.981
800.0 MHz,13.683,96.381,0.25,3.7,2.5,0.2,0.25,0.997,164.335
800.0 MHz,12.142,109.981,0.25,3.7,2.5,0.25,0.2,0.998,166.081
800.0 MHz,14.281,99.339,0.25,3.7,2.6,0.2,0.25,0.997,163.66
800.0 MHz,12.656,115.118,0.25,3.7,2.6,0.25,0.2,0.998,165.499
800.0 MHz,14.859,98.85,0.25,3.7,2.7,0.2,0.25,0.997,163.008
800.0 MHz,13.189,112.875,0.25,3.7,2.7,0.25,0.2,0.998,164.895
800.0 MHz,15.432,98.503,0.25,3.7,2.8,0.2,0.25,0.997,162.363
800.0 MHz,13.716,112.532,0.25,3.7,2.8,0.25,0.2,0.998,164.298
800.0 MHz,16.006,98.261,0.25,3.7,2.9,0.2,0.25,0.997,161.718
800.0 MHz,14.261,111.473,0.25,3.7,2.9,0.25,0.2,0.997,163.683
800.0 MHz,16.586,97.767,0.25,3.7,3.0,0.2,0.25,0.997,161.067
800.0 MHz,14.791,111.15,0.25,3.7,3.0,0.25,0.2,0.997,163.085
800.0 MHz,17.156,97.418,0.25,3.7,3.1,0.2,0.25,0.997,160.429
800.0 MHz,15.326,110.609,0.25,3.7,3.1,0.25,0.2,0.997,162.483
800.0 MHz,17.73,97.133,0.25,3.7,3.2,0.2,0.25,0.996,159.787
800.0 MHz,15.854,110.405,0.25,3.7,3.2,0.25,0.2,0.997,161.889
800.0 MHz,18.308,96.879,0.25,3.7,3.3,0.2,0.25,0.996,159.142
800.0 MHz,16.384,110.219,0.25,3.7,3.3,0.25,0.2,0.997,161.293
800.0 MHz,18.885,96.659,0.25,3.7,3.4,0.2,0.25,0.996,158.5
800.0 MHz,16.914,110.03,0.25,3.7,3.4,0.25,0.2,0.997,160.7
800.0 MHz,19.46,96.458,0.25,3.7,3.5,0.2,0.25,0.996,157.862
800.0 MHz,17.442,109.605,0.25,3.7,3.5,0.25,0.2,0.997,160.109
800.0 MHz,20.039,96.169,0.25,3.7,3.6,0.2,0.25,0.996,157.22
800.0 MHz,17.973,109.352,0.25,3.7,3.6,0.25,0.2,0.997,159.516
800.0 MHz,20.643,97.896,0.25,3.7,3.7,0.2,0.25,0.996,156.552
